Item,Serving Size,Calories,Calories From Fat,Total Fat (g),Total Fat % Daily Value,Saturated Fat (g),Saturated Fat % Daily Value,Trans Fat (g),Cholesterol (mg),Cholesterol % Daily Value,Sodium (mg),Sodium % Daily Value,Carbohydrates (g),Carbohydrates % Daily Value,Dietary Fiber (g),Dietary Fiber % Daily Value,Sugars (g),Protein (g),Vitamin A % Daily Value,Vitamin C % Daily Value,Calcium % Daily Value,Iron % Daily Value
McFlurry® withM&M'S® Candies(16 fl oz cup),16.2 oz(460 g),930,290,33,50,20,102,1,75,25,260,11,139,46,2,7,128,20,25,0,70,10
McFlurry® withOREO® Cookies(16 fl oz cup),13.4 oz(381 g),690,200,23,35,12,58,1,55,19,380,16,106,35,1,5,85,15,20,0,50,10
Snack SizeMcFlurry® withM&M'S® Candies,7.3 oz(207 g),430,140,15,24,10,48,0,35,11,120,5,64,21,1,4,59,9,10,0,30,4
Snack SizeMcFlurry® withOREO® Cookies,6.7 oz(190 g),340,100,11,17,6,29,0,30,9,190,8,53,18,1,2,43,8,10,0,25,6
Snack SizeMcFlurry® withRolo®†**,8.4 oz(238 g),510,140,16,25,10,50,0.5,40,13,190,8,84,28,1,2,63,10,10,0,35,2
StrawberryMcCafé Shake(16 fl oz cup),16 fl oz,700,190,21,32,13,67,1,65,22,220,9,112,37,0,0,100,15,25,0,50,0
StrawberryMcCafé Shake(22 fl oz cup),22 fl oz,850,220,25,38,16,79,1,80,26,270,11,138,46,0,0,123,18,30,0,70,0
Vanilla McCaféShake (16 fl ozcup),16 fl oz,670,180,20,31,13,64,1,60,21,210,9,107,36,0,0,81,14,20,0,50,0
Vanilla McCaféShake (22 fl ozcup),22 fl oz,820,220,24,37,15,77,1,75,26,260,11,133,44,0,0,102,17,30,0,60,0
Egg Nog McCafeShake (16 fl ozcup) Medium,14.6 oz(418 g),680,190,21,32,13,65,1,65,21,220,9,109,36,0,0,93,14,25,0,50,0
Egg Nog McCafeShake (22 fl ozcup) Large,18 oz(516 g),830,220,24,38,15,77,1,80,26,280,11,135,45,0,0,116,18,30,0,60,0
McFlurry® withReese's PeanutButter Cup® (16fl oz cup),14.2 oz(403 g),810,290,32,50,15,76,1,60,20,400,17,114,38,2,9,103,21,20,0,60,6
Snack SizeHoliday MintMcFlurry,6.9 oz(196 g),380,130,14,21,10,52,0,30,10,110,5,56,19,0,0,51,8,10,0,30,0
Snack SizeMcFlurry® withReese's PeanutButter Cup,7.1 oz(202 g),410,150,16,25,8,38,0,30,10,200,8,57,19,1,5,51,10,10,0,30,4
Condiments,,,,,,,,,,,,,,,,,,,,,,
Newman's Own®CreamySouthwestDressing,1.5 fl oz(44 ml),100,50,6,9,1,5,0,20,7,340,14,11,4,0,0,3,1,0,0,2,2
Newman's Own®Creamy CaesarDressing,2 fl oz(59 ml),190,170,18,28,3.5,17,0,20,7,500,21,4,1,0,0,2,2,0,0,6,0
Newman's Own®Low Fat BalsamicVinaigrette,1.5 fl oz(44 ml),35,25,2.5,4,0,0,0,0,0,420,18,3,1,0,0,3,0,0,0,0,0
Ketchup Packet,1 pkg(10 g),15,0,0,0,0,0,0,0,0,110,5,3,1,0,0,2,0,2,2,0,0
Newman's Own®Low Fat FamilyRecipe ItalianDressing,1.5 fl oz(44 ml),50,20,2.5,4,0.5,3,0,0,0,390,16,7,2,0,0,2,1,0,0,2,0
Salt Packet,1 pkg(0.7 g),0,0,0,0,0,0,0,0,0,270,11,0,0,0,0,0,0,0,0,0,0
Tangy BarbequeSauce,1 pkg(28 g),50,0,0,0,0,0,0,0,0,260,11,12,4,0,0,10,0,2,0,0,0
Honey,1 pkg(14 g),50,0,0,0,0,0,0,0,0,0,0,12,4,0,0,11,0,0,0,0,0
Newman's Own®Ranch Dressing,2 fl oz(59 ml),170,130,15,23,2.5,12,0,20,6,530,22,9,3,0,0,4,1,0,0,4,0
Hot MustardSauce,1 pkg(28 g),60,20,2.5,4,0,0,0,5,1,250,10,9,3,2,8,6,1,0,0,0,2
Sweet 'N SourSauce,1 pkg(28 g),50,0,0,0,0,0,0,0,0,150,6,12,4,0,0,10,0,2,0,0,0
Peanuts (forSundaes),0.3 oz(7 g),45,30,3.5,5,0.5,3,0,0,0,0,0,2,1,1,2,0,2,0,0,0,0
Spicy BuffaloSauce,0.8 oz(22 g),35,30,3,5,0,0,0,0,0,540,23,1,0,0,0,0,0,6,0,0,0
Creamy RanchSauce,0.8 oz(22 g),110,110,12,18,2,9,0,5,1,170,7,1,0,0,0,1,0,0,0,0,0
Butter GarlicCroutons,0.5 oz(14 g),60,15,1.5,3,0,0,0,0,0,140,6,10,3,1,2,0,2,0,0,2,4
Honey MustardSauce,0.8 oz(22 g),60,35,4,6,0.5,3,0,5,2,115,5,6,2,1,4,5,0,0,0,0,0
ChipotleBarbeque Sauce,1 oz(28 g),50,0,0,0,0,0,0,0,0,190,8,11,4,0,0,10,0,4,0,2,2
Hotcake Syrup,1 pkg(60 g),180,0,0,0,0,0,0,0,0,20,1,45,15,0,0,32,0,0,0,0,0
WhippedMargarine (1 pat),1 pkg(6 g),40,40,4.5,7,1.5,8,0,0,0,55,2,0,0,0,0,0,0,4,0,0,0
Grape Jam,0.5 oz(14 g),35,0,0,0,0,0,0,0,0,0,0,9,3,0,0,9,0,0,2,0,0
Coffee Cream,0.4 fl oz(11 ml),20,20,2,3,1.5,6,0,10,3,15,1,0,0,0,0,0,0,2,0,2,0
StrawberryPreserves,0.5 oz(14 g),35,0,0,0,0,0,0,0,0,0,0,9,3,0,0,9,0,0,4,0,0
Sugar Packet,1 pkg(4.0 g),15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,0,0
EQUAL® 0CalorieSweetener,1 pkg(1.0 g),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SPLENDA® NoCalorieSweetener,1 pkg(1.0 g),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Hot HabaneroSauce,22 oz(0.8 g),80,60,7,11,1,6,0,10,3,180,8,5,2,1,3,2,1,0,0,2,2
Newman's Own®Low Fat SesameGingerDressing**,1.5 fl oz(44 ml),90,25,2.5,4,0,0,0,0,0,410,17,15,5,1,3,9,1,0,4,0,0
Sweet ChiliSauce,1 oz(28 g),50,0,0,0,0,0,0,0,0,150,6,12,4,0,0,11,0,0000,,,
